State,Overall rank,Affordability rank,Quality/cost of healthcare rank,Well-being rank,Weather rank,Crime rank
Iowa,1,3,11,31,38,12
Delaware,2,18,37,2,8,36
West Virginia,3,1,50,26,20,16
Missouri,4,5,28,32,22,42
Mississippi,5,2,49,46,7,22
Wyoming,6,9,38,16,47,7
Pennsylvania,7,25,22,14,33,12
Florida,8,35,21,3,3,27
Hawaii,9,45,12,1,1,32
Nebraska,10,13,18,37,35,21
Kansas,11,8,25,38,24,35
Wisconsin,12,19,16,21,46,12
Michigan,13,11,24,29,40,26
Alabama,14,4,46,40,9,44
Georgia,15,12,35,42,4,29
Virginia,16,30,15,32,18,9
Illinois,17,17,34,21,28,25
Oregon,18,37,5,9,32,28
South Carolina,19,23,32,19,10,46
Tennessee,20,14,41,36,13,45
Connecticut,21,44,9,5,25,4
New Mexico,22,24,19,21,21,50
Arkansas,23,10,33,44,10,46
Rhode Island,24,40,20,5,23,7
Nevada,25,29,23,17,26,40
Montana,26,33,8,12,45,29
Maine,27,34,17,10,44,2
Vermont,28,39,14,7,39,4
Oklahoma,29,6,42,48,15,42
Utah,30,27,4,43,29,18
North Carolina,31,22,29,34,17,32
New Jersey,32,42,26,13,19,3
Idaho,33,32,3,45,42,6
Arizona,34,36,10,18,2,41
Minnesota,35,31,7,25,49,17
Kentucky,36,15,47,49,16,11
South Dakota,37,21,43,24,41,22
New Hampshire,38,38,31,8,36,1
Ohio,39,20,45,35,29,20
Indiana,40,7,48,50,27,22
Louisiana,41,16,44,41,5,48
Maryland,42,46,12,20,14,29
Colorado,43,41,1,28,43,37
Texas,44,28,36,47,6,38
North Dakota,45,26,40,39,48,18
Massachusetts,46,48,27,11,31,10
Washington,47,47,2,30,34,34
California,48,49,6,15,12,38
New York,49,50,30,4,37,15
Alaska,50,43,38,27,50,49
